x,y,z
-31.807281384644391,-250.68562488280713,-494.13311162817462
-31.801256224398976,-250.69219982528998,-494.13955007027357
-31.796052747061182,-250.69710673556858,-494.14433357582726
-31.793188081720153,-250.6988254755218,-494.14565201571418
-31.793661698528908,-250.69676165143437,-494.14347688377165
-31.796921305776969,-250.69196589431752,-494.13976932808117
-31.801474961834565,-250.68655369326797,-494.13744948270647
-31.805636257583039,-250.68251563778907,-494.13873974908779
-31.80836798700097,-250.68094834597397,-494.14391234684797
-31.809354799756413,-250.68206604045892,-494.15165063288248
-31.809131207378996,-250.68502862833623,-494.15912561004882
-31.80877573715734,-250.68865613644437,-494.16386542627964
-31.808836340247332,-250.69204952607279,-494.16462464675038
-31.809552121820182,-250.69464653063631,-494.16101313637557
-31.811034080877185,-250.69615560504539,-494.15370550427315
-31.813969893438724,-250.69623383835344,-494.14362211852279
-31.81914425711085,-250.69434843199892,-494.13149371645005
-31.826554313236443,-250.69047441170028,-494.1180587539821
-31.835238471520007,-250.68506459600363,-494.10425864536728
-31.843586443842234,-250.67933929436708,-494.09180289785201
-31.849951117089006,-250.67474577172683,-494.08292631344693
-31.853278864732992,-250.67251868843977,-494.07977043554121
-31.853541474657199,-250.67315096714105,-494.08276343627836
-31.851364340983359,-250.67616123064099,-494.09106347753277
-31.846842701073221,-250.68108322020544,-494.10339889009981
-31.839731907369661,-250.68756515659479,-494.11854958036355
-31.830238972204505,-250.69483054913937,-494.13531436194245
-31.819430467283901,-250.70211616423123,-494.15223103133377
-31.80854179009318,-250.70850836836615,-494.16811754626565
-31.798388242111166,-250.71351781962937,-494.18214342416491
-31.789288443487521,-250.71733108448802,-494.19430143666415
-31.781583351852468,-250.72027655638794,-494.20469046653733
-31.775703044403819,-250.72265985745949,-494.21336417380695
-31.771988218192007,-250.72454832501046,-494.21994914762217
-31.770177350275183,-250.72636094801723,-494.22408039073525
-31.769525342872733,-250.72862050694428,-494.22578931452216
-31.769443681173115,-250.73142276187218,-494.22537600515824
-31.769711185489086,-250.73446702147163,-494.22310390654383
-31.770737094931185,-250.73677754653539,-494.2187117913636
-31.77314868379279,-250.73770247534887,-494.21219952475656
-31.777281542862667,-250.73679147371973,-494.20422612587555
-31.783104537935166,-250.73380665519804,-494.19578540051299
-31.790489389573032,-250.72849294759854,-494.18746279938983
-31.798501037151425,-250.72148399381774,-494.17986683626407
-31.805965795139507,-250.71386381769955,-494.17336771147342
-31.811704238490556,-250.70714745433989,-494.16868020153885
-31.815158973547604,-250.70222074022283,-494.16613736401405
-31.816818748908055,-250.69935590759991,-494.16568328916412
-31.817284679830969,-250.69841172584142,-494.16676774418471
-31.817057787105774,-250.69894834697322,-494.16914454249576
