x,y,z
-27.837450404591429,-251.18094494239142,-495.65675657274767
-27.857097120960745,-251.13351956213802,-495.59418689060249
-27.880111462374451,-251.08303686055359,-495.52185618640618
-27.904619713058523,-251.03568072359317,-495.44690761921555
-27.92924656007181,-250.99497811432101,-495.37498452678551
-27.953081528716197,-250.96153264436848,-495.30907538057352
-27.975160777962643,-250.93483445963926,-495.25046251040959
-27.994158888247661,-250.91471551359911,-495.19995282729604
-28.00933603698882,-250.90100499055157,-495.15778325426351
-28.021020806178136,-250.89334928345338,-495.1229391170948
-28.030930736916005,-250.89121698865225,-495.09366531080798
-28.040877990028442,-250.89458199418206,-495.0680240519755
-28.052810934953044,-250.90360353838008,-495.04392080902863
-28.068320060526602,-250.91892157230791,-495.01919050284806
-28.088461177087012,-250.94116513195357,-494.99154952061008
-28.11409041193388,-250.97077954624899,-494.95919311163294
-28.145759707581782,-251.00760654394514,-494.92101784246228
-28.184176741636144,-251.0500565222238,-494.87682835461578
-28.229565604116218,-251.09506346763786,-494.82673665553125
-28.281499254702226,-251.13900604211022,-494.77177743771665
-28.33893035920844,-251.17928938274537,-494.71422448449204
-28.400875547042062,-251.21522371563375,-494.65759999950222
-28.466726727484883,-251.24723745600798,-494.60542855841931
-28.53592182102841,-251.27551974278219,-494.55948075386658
-28.607596407230766,-251.30023636008497,-494.52023774684199
-28.679587133986949,-251.32224958480217,-494.48742722923197
-28.749541125500649,-251.34334179759691,-494.46049688279993
-28.815854251923568,-251.36559863209274,-494.43803032122145
-28.879159692531843,-251.39075567213817,-494.41795315227148
-28.942006577806325,-251.41993953655043,-494.39845651431699
-29.007900253232926,-251.45321370915971,-494.3787321474918
-29.079786427288191,-251.48935665459285,-494.35860589537674
-29.159066903236841,-251.52608874467518,-494.33830052077985
-29.245948307263966,-251.56006558232627,-494.31773457157806
-29.339814049757734,-251.58809422368688,-494.29599748793737
-29.438804541917044,-251.60853954571735,-494.27214756640012
-29.539610571575423,-251.62273138442302,-494.24630186893211
-29.637853496406301,-251.63521572645402,-494.22051557347208
-29.730095173284511,-251.65095908150903,-494.19693382984235
-29.815218349312005,-251.67264384933299,-494.17608043099466
-29.894355576182157,-251.69977413644929,-494.15556025262038
-29.969844061523453,-251.72918322244354,-494.13126947629661
-30.043124518028279,-251.75724166099104,-494.09961527656361
-30.113272507896589,-251.78148520014844,-494.05988794786265
-30.17829632094957,-251.80010044715738,-494.01375950844334
-30.237182165481087,-251.81243133506601,-493.96491541694803
-30.290118132051433,-251.81857907149416,-493.91755845922677
