name,coords,std
"('sensor1', 'gage1', 'bottom')","[16.940976647370597, -85.35802912374325, 899.5122723639953]","[0.40405335546433196, 0.7335156859162177, 1.4564692885299817]"
"('sensor1', 'gage3', 'bottom')","[19.20418166543248, -88.21104087145969, 896.5129309323818]","[0.7359293338460083, 0.5739410444120341, 1.5341302222027209]"
"('sensor2', 'gage3', 'bottom')","[48.166949465652436, -91.08448320453054, 893.4420197125003]","[1.0062406382316726, 0.6806931553940178, 0.78346282799354]"
"('sensor2', 'gage1', 'top')","[51.156912745296644, -89.47556502755185, 903.4202107038293]","[1.2539019671232596, 0.6393081999332237, 0.5418945482866266]"
"('sensor2', 'gage2', 'bottom')","[51.0236515062809, -88.44076080548484, 895.2059370059694]","[0.8183726741025409, 0.31599088737614034, 0.9061807087525817]"
"('sensor1', 'gage3', 'top')","[16.93344317645275, -91.71628799458426, 905.2768148806191]","[0.3684124216941923, 0.48112940395216036, 1.4568737382961094]"
"('sensor3', 'gage2', 'top')","[43.86650432240981, -101.87987025530371, 904.4840594954752]","[2.157421186685015, 1.0360257836559459, 1.4434312900214488]"
"('sensor1', 'gage2', 'top')","[16.159038130698924, -89.18801139326399, 905.2919013312369]","[0.21532042402306062, 0.5470312781283122, 1.2535446410156685]"
"('sensor3', 'gage2', 'bottom')","[42.33288707941921, -99.5161722224141, 895.5871212450925]","[1.8870335343183189, 1.5862065955744278, 1.8065130957821736]"
"('sensor3', 'gage1', 'bottom')","[37.71661013550798, -105.13682858704037, 902.0757855799457]","[2.1989466541878717, 2.012258888046859, 0.8229190416654945]"
"('sensor2', 'gage1', 'bottom')","[45.47088418862434, -94.10720222555186, 897.6055971124242]","[0.9827001437489801, 0.6349732107641366, 1.1573155481545303]"
"('sensor1', 'gage1', 'top')","[17.71951080196241, -94.1842296589749, 903.781154899945]","[0.29919896764956455, 0.8484720224203259, 1.6930447502280237]"
"('sensor3', 'gage3', 'bottom')","[38.52773864138149, -104.20261557919015, 897.0766868933716]","[1.926379498795684, 0.5161333462167389, 1.2355095094235884]"
"('sensor3', 'gage3', 'top')","[45.577666130142426, -100.89681849251889, 904.834545686666]","[0.6826215118927773, 4.375655574527051, 2.0181664151124044]"
"('sensor2', 'gage3', 'top')","[49.80949606244842, -91.42537244720923, 903.0621093829151]","[1.2338316635316728, 0.5770361519346101, 0.4029568994450005]"
"('sensor2', 'gage2', 'top')","[47.38004383315763, -93.45897955036111, 902.803486733115]","[1.3466245304689193, 0.6049469338796445, 0.9527526693161374]"
"('sensor1', 'gage2', 'bottom')","[20.36701574832147, -93.28215392654678, 896.6316872304512]","[0.5875933053686152, 0.3035142692104846, 1.943680548512266]"
"('sensor3', 'gage1', 'top')","[44.83961463849086, -96.76655913425324, 903.582665277188]","[1.988533362837375, 1.5161350294462437, 1.6586227179656903]"
