name,coords,std
sensor1_gage1_bottom,"[18.894871977397926, -90.76422099732612, 900.8875421904864]","[0.26181737162089735, 0.7078041954416638, 0.3729972743902648]"
sensor1_gage3_bottom,"[20.769625628905228, -93.79976213479102, 897.6212494466463]","[0.14585889457902737, 0.6680763097979936, 0.46076254242735126]"
sensor2_gage3_bottom,"[52.538075975390676, -91.65789262202603, 897.3034078918562]","[0.1947244636103414, 0.23073310027112498, 0.49578364131719266]"
sensor2_gage1_top,"[55.849670894823305, -90.49857661375185, 906.64815657323]","[0.2557632873873334, 0.10002491513682997, 1.0756907093248258]"
sensor2_gage2_bottom,"[55.391424365435505, -89.07750147750988, 899.1225065867479]","[0.526881551032332, 0.23428634164656123, 0.7189908463760283]"
sensor1_gage3_top,"[18.58177776413819, -97.2097121087949, 906.5995033825594]","[0.3097551406096218, 0.6140662964895677, 0.38432547028998654]"
sensor3_gage2_top,"[45.82227408188778, -102.62980919603126, 909.0670082848866]","[0.5757373537339929, 0.7723502780333507, 0.35607820117474975]"
sensor1_gage2_top,"[18.077989875195673, -94.63066488623532, 906.732249284689]","[0.3060041797279946, 0.6002885341863863, 0.3331285480769324]"
sensor3_gage2_bottom,"[45.49606902404648, -99.69631468432937, 899.7006489044936]","[0.6934157449033072, 0.18769703911488064, 1.3066729125424765]"
sensor3_gage1_bottom,"[41.814484352793585, -105.103655033102, 905.5577973478623]","[0.48654025738463236, 0.5631607681106867, 0.8787921530454358]"
sensor2_gage1_bottom,"[50.31490795704014, -94.90046550802253, 900.5306067771785]","[0.07028467360432733, 0.18842735102272068, 0.6003592160418227]"
sensor1_gage1_top,"[19.578751355889608, -99.61676886765188, 905.2201112335655]","[0.2781207457847487, 0.9358709178489688, 0.6788401437100355]"
sensor3_gage3_bottom,"[42.10378829436675, -103.34070899296535, 901.0917489699657]","[0.22299468019400984, 0.4230264828698072, 0.6731584634686887]"
sensor3_gage3_top,"[47.72792865284975, -99.52751207516228, 908.4712853166792]","[0.5381683242691822, 0.4118404217512017, 0.562229352720149]"
sensor2_gage3_top,"[54.15189148851363, -92.28037664889821, 906.9520763028544]","[0.3665853001003707, 0.23989486627562348, 0.7183523496177071]"
sensor2_gage2_top,"[51.856516438925524, -94.3596496726455, 906.4275201516651]","[0.33089350984246946, 0.27735001772681134, 0.4399972055711422]"
sensor1_gage2_bottom,"[21.968107388402284, -98.68974661333021, 898.2840147276038]","[0.3156886343776436, 0.5564750231286459, 0.6699778075472471]"
sensor3_gage1_top,"[48.96480277904765, -97.67736906966626, 906.7828025961808]","[0.14858456675525034, 0.5607498566226528, 0.4433458649946979]"
